pdv,fecha,pago,cp,banco
PDV 99410,20211129,30.00,1,BANCO 9
PDV 99364,20210807,12.00,1,BANCO 85
PDV 102771,20210819,14.00,1,BANCO 9
PDV 103505,20220203,10.00,1,BANCO 9
PDV 39621,20230525,90.35,1,BANCO 7
PDV 100622,20230131,60.00,1,BANCO 86
PDV 46252,20211230,160.00,1,BANCO 86
PDV 101191,20220331,10.00,1,BANCO 82
PDV 105900,20220226,40.00,1,BANCO 9
PDV 105086,20220710,295.00,1,BANCO 9
PDV 97970,20221117,18.50,1,BANCO 9
PDV 108515,20230424,50.00,1,BANCO 82
PDV 106877,20211123,50.00,1,BANCO 82
PDV 37086,20210705,50.41,1,BANCO 7
PDV 101902,20220414,103.00,1,BANCO 9
PDV 108296,20220307,30.00,1,BANCO 9
PDV 96172,20220419,5.00,1,BANCO 85
PDV 109923,20230726,60.00,1,BANCO 9
PDV 50270,20230411,600.00,1,BANCO 9
PDV 101317,20211027,500.00,1,BANCO 82
PDV 106105,20220115,30.00,1,BANCO 9
PDV 105732,20220201,150.00,1,BANCO 9
PDV 45695,20220915,20.00,1,BANCO 83
PDV 105301,20220704,40.00,1,BANCO 74
